match_id,date,team1,team2,venue,team1_winrate,team2_winrate,team1_form5,team2_form5,team1_form10,team2_form10,h2h_team1,team1_matches,team2_matches,venue_team1_wr,both_have_history,team1_won
391794,2009-06-25,England,Australia,County Ground,0.42857142857142855,0.4583333333333333,0.6,0.0,0.6,0.3,0.5,21,24,0.0,1,0
401076,2009-08-02,West Indies,Bangladesh,"Warner Park, Basseterre",0.4666666666666667,0.18181818181818182,0.4,0.0,0.5,0.1,0.0,15,11,0.5,1,1
403375,2009-08-12,Sri Lanka,Pakistan,R Premadasa Stadium,0.6666666666666666,0.8,0.8,0.8,0.7,0.7,0.4,18,20,0.0,1,0
403385,2009-09-02,Sri Lanka,New Zealand,R Premadasa Stadium,0.631578947368421,0.44,0.6,0.4,0.7,0.6,0.75,19,25,0.0,1,0
403386,2009-09-04,Sri Lanka,New Zealand,R Premadasa Stadium,0.6,0.46153846153846156,0.4,0.6,0.6,0.6,0.6,20,26,0.0,1,0
423391,2009-10-28,South Africa,West Indies,Boland Bank Park,0.6521739130434783,0.5,0.8,0.6,0.7,0.6,0.75,23,16,0.5,1,0
426723,2009-11-12,New Zealand,Pakistan,Dubai International Cricket Stadium,0.48148148148148145,0.8095238095238095,0.6,1.0,0.7,0.7,0.0,27,21,0.5,1,0
426724,2009-11-13,New Zealand,Pakistan,Dubai International Cricket Stadium,0.4642857142857143,0.8181818181818182,0.6,1.0,0.6,0.8,0.0,28,22,0.0,1,0
387563,2009-11-13,South Africa,England,New Wanderers Stadium,0.625,0.4090909090909091,0.6,0.4,0.7,0.5,1.0,24,22,0.75,1,0
387564,2009-11-15,South Africa,England,SuperSport Park,0.6,0.43478260869565216,0.4,0.6,0.7,0.5,0.6666666666666666,25,23,1.0,1,1
430884,2009-12-09,India,Sri Lanka,"Vidarbha Cricket Association Stadium, Jamtha",0.5294117647058824,0.5714285714285714,0.2,0.2,0.3,0.6,1.0,17,21,0.5,1,0
430885,2009-12-12,India,Sri Lanka,"Punjab Cricket Association Stadium, Mohali",0.5,0.5909090909090909,0.0,0.2,0.3,0.6,0.5,18,22,0.5,1,1
423782,2010-02-03,New Zealand,Bangladesh,Seddon Park,0.4482758620689655,0.16666666666666666,0.6,0.0,0.5,0.1,0.5,29,12,1.0,1,1
406207,2010-02-05,Australia,Pakistan,Melbourne Cricket Ground,0.48,0.8260869565217391,0.2,1.0,0.4,0.8,0.0,25,23,1.0,1,1
439497,2010-02-09,Canada,Netherlands,Dubai International Cricket Stadium,0.5,0.6666666666666666,0.5,0.6666666666666666,0.5,0.6666666666666666,0.5,0,3,0.5,0,0
439499,2010-02-10,Canada,Kenya,Dubai International Cricket Stadium,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1,5,0.0,1,0
439505,2010-02-11,Ireland,Scotland,Dubai International Cricket Stadium,0.3333333333333333,0.2,0.2,0.2,0.3333333333333333,0.2,0.5,6,5,0.5,1,1
439510,2010-02-13,Ireland,Netherlands,Dubai International Cricket Stadium,0.42857142857142855,0.75,0.2,0.75,0.42857142857142855,0.75,0.5,7,4,1.0,1,1
440945,2010-02-19,England,Pakistan,Dubai International Cricket Stadium,0.4166666666666667,0.7916666666666666,0.4,0.8,0.4,0.8,0.5,24,24,0.5,1,1
440946,2010-02-20,England,Pakistan,Dubai International Cricket Stadium,0.44,0.76,0.6,0.6,0.5,0.7,0.6666666666666666,25,25,1.0,1,0
406197,2010-02-21,Australia,West Indies,Bellerive Oval,0.5,0.5294117647058824,0.4,0.6,0.4,0.6,0.0,26,17,0.5,1,1
406198,2010-02-23,Australia,West Indies,Sydney Cricket Ground,0.5185185185185185,0.5,0.6,0.6,0.4,0.6,0.3333333333333333,27,18,1.0,1,1
423787,2010-02-26,New Zealand,Australia,Westpac Stadium,0.4666666666666667,0.5357142857142857,0.6,0.8,0.5,0.4,0.0,30,28,0.5,1,0
439139,2010-02-28,West Indies,Zimbabwe,"Queen's Park Oval, Port of Spain",0.47368421052631576,0.5,0.4,0.5,0.5,0.5,0.5,19,2,1.0,1,0
412677,2010-04-30,West Indies,Ireland,Providence Stadium,0.45,0.5,0.4,0.4,0.4,0.5,0.5,20,8,0.5,1,1
412678,2010-04-30,New Zealand,Sri Lanka,Providence Stadium,0.45161290322580644,0.5652173913043478,0.4,0.2,0.5,0.5,0.5,31,23,0.5,1,1
412680,2010-05-01,Bangladesh,Pakistan,"Beausejour Stadium, Gros Islet",0.15384615384615385,0.7692307692307693,0.0,0.6,0.0,0.8,0.0,13,26,0.5,1,0
412682,2010-05-02,India,South Africa,"Beausejour Stadium, Gros Islet",0.5263157894736842,0.6153846153846154,0.2,0.4,0.3,0.7,0.6666666666666666,19,26,0.5,1,1
412683,2010-05-02,Australia,Pakistan,"Beausejour Stadium, Gros Islet",0.5517241379310345,0.7777777777777778,1.0,0.6,0.5,0.8,0.3333333333333333,29,27,0.5,1,1
412685,2010-05-03,West Indies,England,Providence Stadium,0.47619047619047616,0.4230769230769231,0.4,0.4,0.5,0.5,0.75,21,26,1.0,1,1
412686,2010-05-03,Sri Lanka,Zimbabwe,Providence Stadium,0.5416666666666666,0.6666666666666666,0.2,0.6666666666666666,0.4,0.6666666666666666,0.5,24,3,0.0,1,1
412684,2010-05-04,New Zealand,Zimbabwe,Providence Stadium,0.46875,0.5,0.4,0.5,0.5,0.5,0.5,32,4,1.0,1,1
412688,2010-05-05,Australia,Bangladesh,"Kensington Oval, Bridgetown",0.5666666666666667,0.14285714285714285,1.0,0.0,0.6,0.0,1.0,30,14,0.0,1,1
412689,2010-05-06,England,Pakistan,"Kensington Oval, Bridgetown",0.4074074074074074,0.75,0.4,0.4,0.4,0.7,0.5,27,28,0.5,1,1
412690,2010-05-06,New Zealand,South Africa,"Kensington Oval, Bridgetown",0.48484848484848486,0.5925925925925926,0.6,0.2,0.6,0.6,0.25,33,27,0.5,1,0
412692,2010-05-07,West Indies,Sri Lanka,"Kensington Oval, Bridgetown",0.5,0.56,0.4,0.4,0.5,0.4,0.0,22,25,1.0,1,0
412691,2010-05-07,Australia,India,"Kensington Oval, Bridgetown",0.5806451612903226,0.55,1.0,0.4,0.7,0.4,0.3333333333333333,31,20,0.5,1,1
412693,2010-05-08,New Zealand,Pakistan,"Kensington Oval, Bridgetown",0.47058823529411764,0.7241379310344828,0.6,0.4,0.6,0.6,0.0,34,29,0.0,1,1
412694,2010-05-08,England,South Africa,"Kensington Oval, Bridgetown",0.42857142857142855,0.6071428571428571,0.4,0.4,0.5,0.6,0.25,28,28,1.0,1,1
412695,2010-05-09,West Indies,India,"Kensington Oval, Bridgetown",0.4782608695652174,0.5238095238095238,0.4,0.4,0.5,0.4,1.0,23,21,0.5,1,1
412696,2010-05-09,Australia,Sri Lanka,"Kensington Oval, Bridgetown",0.59375,0.5769230769230769,1.0,0.6,0.8,0.4,0.5,32,26,0.6666666666666666,1,1
412697,2010-05-10,Pakistan,South Africa,"Beausejour Stadium, Gros Islet",0.7,0.5862068965517241,0.4,0.4,0.5,0.5,1.0,30,29,0.5,1,1
412698,2010-05-10,England,New Zealand,"Beausejour Stadium, Gros Islet",0.4482758620689655,0.4857142857142857,0.6,0.6,0.5,0.6,0.75,29,35,0.5,1,1
412699,2010-05-11,India,Sri Lanka,"Beausejour Stadium, Gros Islet",0.5,0.5555555555555556,0.4,0.4,0.3,0.3,0.6666666666666666,22,27,1.0,1,0
412700,2010-05-11,West Indies,Australia,"Beausejour Stadium, Gros Islet",0.5,0.6060606060606061,0.6,1.0,0.5,0.9,0.5,24,33,0.5,1,0
412701,2010-05-13,England,Sri Lanka,"Beausejour Stadium, Gros Islet",0.4666666666666667,0.5714285714285714,0.6,0.6,0.6,0.4,0.0,30,28,1.0,1,1
412716,2010-05-13,Australia,India,"Beausejour Stadium, Gros Islet",0.6176470588235294,0.4782608695652174,1.0,0.4,1.0,0.2,0.5,34,23,1.0,1,1
412702,2010-05-14,Australia,Pakistan,"Beausejour Stadium, Gros Islet",0.6285714285714286,0.7096774193548387,1.0,0.4,1.0,0.5,0.5,35,31,1.0,1,1
412717,2010-05-14,West Indies,New Zealand,"Beausejour Stadium, Gros Islet",0.48,0.4722222222222222,0.6,0.6,0.5,0.5,0.0,25,36,0.0,1,0
412703,2010-05-16,Australia,England,"Kensington Oval, Bridgetown",0.6388888888888888,0.4838709677419355,1.0,0.8,1.0,0.6,0.6,36,31,0.75,1,0
412718,2010-05-16,Australia,New Zealand,"Kensington Oval, Bridgetown",0.6216216216216216,0.4864864864864865,0.8,0.6,0.9,0.5,1.0,37,37,0.6,1,1
439146,2010-05-19,West Indies,South Africa,"Sir Vivian Richards Stadium, North Sound",0.46153846153846156,0.5666666666666667,0.4,0.4,0.4,0.4,0.4,26,30,0.5,1,0
447539,2010-05-20,West Indies,South Africa,"Sir Vivian Richards Stadium, North Sound",0.4444444444444444,0.5806451612903226,0.2,0.4,0.3,0.4,0.3333333333333333,27,31,0.0,1,0
456991,2010-05-22,New Zealand,Sri Lanka,Central Broward Regional Park Stadium Turf Ground,0.47368421052631576,0.5517241379310345,0.4,0.6,0.5,0.4,0.5714285714285714,38,29,0.5,1,1
456992,2010-05-23,New Zealand,Sri Lanka,Central Broward Regional Park Stadium Turf Ground,0.48717948717948717,0.5333333333333333,0.6,0.4,0.6,0.4,0.625,39,30,1.0,1,0
452153,2010-06-12,Zimbabwe,India,Harare Sports Club,0.4,0.4583333333333333,0.4,0.2,0.4,0.2,0.5,5,24,0.5,1,0
452154,2010-06-13,Zimbabwe,India,Harare Sports Club,0.3333333333333333,0.48,0.2,0.2,0.3333333333333333,0.3,0.0,6,25,0.0,1,0
426392,2010-07-05,Australia,Pakistan,Edgbaston,0.631578947368421,0.6875,0.8,0.2,0.9,0.4,0.6,38,32,0.5,1,0
426393,2010-07-06,Australia,Pakistan,Edgbaston,0.6153846153846154,0.696969696969697,0.6,0.4,0.8,0.4,0.5,39,33,0.0,1,0
426417,2010-09-05,England,Pakistan,Sophia Gardens,0.5,0.7058823529411765,1.0,0.6,0.7,0.5,0.6,32,34,0.5,1,1
426418,2010-09-07,England,Pakistan,Sophia Gardens,0.5151515151515151,0.6857142857142857,1.0,0.6,0.7,0.5,0.6666666666666666,33,35,1.0,1,1
463141,2010-10-08,South Africa,Zimbabwe,OUTsurance Oval,0.59375,0.2857142857142857,0.6,0.2,0.4,0.2857142857142857,0.5,32,7,0.5,1,1
463142,2010-10-10,South Africa,Zimbabwe,De Beers Diamond Oval,0.6060606060606061,0.25,0.6,0.0,0.5,0.25,1.0,33,8,0.5,1,1
478279,2010-10-26,Pakistan,South Africa,Sheikh Zayed Stadium,0.6666666666666666,0.6176470588235294,0.4,0.8,0.4,0.6,1.0,36,34,0.5,1,0
461565,2010-10-27,Pakistan,South Africa,Sheikh Zayed Stadium,0.6486486486486487,0.6285714285714286,0.4,1.0,0.3,0.7,0.6666666666666666,37,35,0.0,1,0
446956,2010-10-31,Australia,Sri Lanka,Western Australia Cricket Association Ground,0.6,0.5483870967741935,0.4,0.4,0.7,0.5,0.6666666666666666,40,31,1.0,1,0
473918,2010-12-26,New Zealand,Pakistan,Eden Park,0.475,0.631578947368421,0.4,0.2,0.5,0.3,0.2,40,38,0.3333333333333333,1,1
473919,2010-12-28,New Zealand,Pakistan,Seddon Park,0.4878048780487805,0.6153846153846154,0.6,0.0,0.6,0.3,0.3333333333333333,41,39,1.0,1,1
473920,2010-12-30,New Zealand,Pakistan,AMI Stadium,0.5,0.6,0.6,0.0,0.6,0.3,0.42857142857142855,42,40,1.0,1,0
476947,2010-12-30,New Zealand,Australia,Saxton Oval,0.4883720930232558,0.5853658536585366,0.6,0.2,0.5,0.6,0.0,43,41,0.5,1,0
463149,2011-01-09,South Africa,India,Moses Mabhida Stadium,0.6388888888888888,0.5,1.0,0.4,0.7,0.4,0.25,36,26,0.5,1,0
446960,2011-01-12,Australia,England,Adelaide Oval,0.5952380952380952,0.5294117647058824,0.4,1.0,0.6,0.8,0.5,42,34,0.5,1,0
